model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p,verb,hinge_point_offset_frac
depth,espressomachine/espressomachine,60.951,60.951,0.9523,2.5075,0.0296,0.522,open,0.0779
depth,espressomachine/espressomachine,65.682,114.318,0.9541,3.9327,0.2272,4.364,close,2.6324
depth,espressomachine/espressomachine,64.126,64.126,0.9550,1.7885,0.0464,1.407,open,0.1470
depth,espressomachine/espressomachine,65.480,114.520,0.9489,4.0113,0.1859,4.513,close,2.0537
depth,espressomachine/espressomachine,65.578,65.578,0.9556,2.1222,0.0372,0.801,open,0.1126
depth,espressomachine/espressomachine,84.630,95.370,0.9490,3.4435,0.2231,4.210,close,0.2108
depth,espressomachine/espressomachine,72.082,72.082,0.9554,1.9316,0.0771,1.132,open,0.1545
depth,espressomachine/espressomachine,60.238,119.762,0.9493,3.8380,0.1863,4.511,close,2.3096
depth,espressomachine/espressomachine,60.035,60.035,0.9493,1.6548,0.0548,0.929,open,0.0765
depth,espressomachine/espressomachine,60.540,119.460,0.9554,3.1293,0.2190,3.787,close,1.3966
depth,espressomachine/espressomachine,64.566,64.566,0.9593,1.5107,0.0202,1.351,open,0.1557
depth,espressomachine/espressomachine,48.766,131.234,0.9492,2.8613,0.1965,4.399,close,0.9380
depth,espressomachine/espressomachine,67.982,67.982,0.9522,0.9460,0.0466,2.207,open,0.2151
depth,espressomachine/espressomachine,61.477,61.477,0.9577,1.2395,0.0645,1.862,open,0.1620
depth,espressomachine/espressomachine,64.586,115.414,0.9522,3.5566,0.2213,4.060,close,2.7077
depth,espressomachine/espressomachine,58.987,58.987,0.9566,2.2204,0.0099,0.674,open,0.0481
depth,phone/phone,47.623,47.623,0.9514,0.3169,0.0215,1.866,close,0.1564
depth,phone/phone,39.254,39.254,0.9566,1.1043,0.1082,0.419,open,0.2802
depth,phone/phone,34.135,34.135,0.9515,0.2549,0.0418,1.219,close,0.0570
depth,phone/phone,32.148,32.148,0.9478,0.9207,0.1072,0.831,open,0.0726
depth,phone/phone,52.646,52.646,0.9533,0.4195,0.1792,1.029,close,0.3804
depth,phone/phone,46.252,46.252,0.9571,0.8775,0.1383,0.562,open,0.2134
depth,phone/phone,36.002,36.002,0.9598,0.4375,0.0823,1.559,close,0.1985
depth,phone/phone,62.494,62.494,0.9555,0.9335,0.1268,0.549,open,0.2647
depth,phone/phone,28.526,28.526,0.9643,0.2002,0.1017,2.152,close,0.0859
depth,phone/phone,26.221,26.221,0.9546,0.5222,0.1040,1.251,open,0.1064
depth,phone/phone,20.336,20.336,0.9614,0.5387,0.1429,1.383,close,0.2167
depth,phone/phone,70.341,70.341,0.9608,0.8934,0.0854,0.601,open,0.0828
depth,phone/phone,58.377,58.377,0.9570,0.4143,0.1335,1.285,close,0.2470
depth,phone/phone,45.899,45.899,0.9539,0.8258,0.1062,0.553,open,0.0515
depth,phone/phone,78.714,78.714,0.9507,0.2817,0.1196,1.086,close,0.1130
depth,phone/phone,20.018,20.018,0.9543,1.2132,0.0645,0.231,open,0.0390
depth,phone/phone,23.570,23.570,0.9610,0.6390,0.1483,1.159,close,0.1704
depth,phone/phone,70.934,70.934,0.9546,0.5929,0.1481,0.585,open,0.2490
depth,phone/phone,22.558,22.558,0.9617,0.4330,0.0608,1.025,close,0.1477
depth,phone/phone,33.174,33.174,0.9427,1.0419,0.1251,0.612,open,0.1124
depth,phone/phone,23.585,23.585,0.9641,0.2627,0.0489,2.207,close,0.0490
depth,phone/phone,39.077,39.077,0.9557,0.9236,0.0814,0.368,open,0.1965
depth,phone/phone,74.821,74.821,0.9627,0.3999,0.1522,0.910,close,0.4278
depth,phone/phone,38.249,38.249,0.9540,0.7519,0.0872,0.398,open,0.3522
depth,phone/phone,53.788,53.788,0.9546,0.4103,0.0797,1.514,close,0.2112
depth,phone/phone,66.477,66.477,0.9468,0.9297,0.0887,0.648,open,0.2062
depth,phone/phone,26.301,26.301,0.9652,0.7375,0.0059,0.630,close,0.2276
depth,phone/phone,49.971,49.971,0.9494,0.7563,0.0757,0.485,open,0.1575
depth,phone/phone,62.254,62.254,0.9514,0.9766,0.1809,0.208,close,0.9754
depth,phone/phone,41.833,41.833,0.9516,1.2065,0.1295,0.367,open,0.0701
depth,phone/phone,51.479,51.479,0.9578,0.5175,0.0232,0.810,close,0.1577
depth,phone/phone,71.231,71.231,0.9571,0.9806,0.1524,0.310,open,0.1534
depth,phone/phone,21.172,21.172,0.9572,0.1063,0.0856,1.487,close,0.0839
depth,phone/phone,21.643,21.643,0.9534,0.5867,0.0101,0.876,open,0.2426
depth,scissors/scissors,69.523,110.477,0.9180,0.4426,0.1055,1.573,close,0.1153
depth,scissors/scissors,37.671,37.671,0.9517,0.4155,0.1220,0.931,open,0.1627
depth,scissors/scissors,59.618,120.382,0.9357,0.1945,0.0453,1.399,close,0.0982
depth,scissors/scissors,48.273,48.273,0.9346,1.0783,0.0983,0.316,open,0.3136
depth,scissors/scissors,56.868,56.868,0.9415,0.2698,0.0978,0.950,close,0.0455
depth,scissors/scissors,24.278,24.278,0.9478,0.1472,0.0669,1.563,close,0.1340
depth,scissors/scissors,80.076,99.924,0.9322,0.5088,0.1242,0.843,open,0.2370
depth,scissors/scissors,85.018,94.982,0.9347,0.0227,0.0870,1.320,close,0.1044
depth,scissors/scissors,67.470,67.470,0.9385,0.5434,0.0430,0.866,open,0.1459
depth,scissors/scissors,67.697,112.303,0.9422,0.1627,0.0652,1.171,close,0.0518
depth,scissors/scissors,24.857,155.143,0.9339,0.1746,0.0335,1.123,close,0.1207
depth,scissors/scissors,63.544,63.544,0.9409,0.0219,0.0641,1.345,close,0.0801
depth,scissors/scissors,61.561,118.439,0.9531,0.1437,0.0885,1.115,close,0.1363
depth,scissors/scissors,4.831,4.831,0.9168,0.2941,0.0702,0.992,close,0.1115
depth,scissors/scissors,87.786,87.786,0.9460,0.5864,0.0915,0.595,open,0.2003
depth,scissors/scissors,58.959,58.959,0.9161,0.0633,0.0247,1.256,close,0.0842
depth,scissors/scissors,87.825,92.175,0.9271,0.2252,0.0300,0.728,close,0.2595
depth,scissors/scissors,61.260,118.740,0.9228,0.7993,0.0792,0.534,close,0.0386
depth,scissors/scissors,57.225,57.225,0.9412,0.1869,0.1336,1.026,close,0.0955
depth,scissors/scissors,20.118,20.118,0.9287,0.9904,0.1224,0.361,open,0.2510
depth,scissors/scissors,64.457,64.457,0.9311,0.1692,0.0631,1.127,close,0.0697
